 mentions, sentiment,sender
[],0.673557341,magazine-montana-cola-lemon
[],0.231298059,rainier
[],0.872864604,magazine-montana-cola-lemon
[],0.644771755,rainier
[],0.967207372,magazine-montana-cola-lemon
[],0.092060834,rainier
[],0.891225994,magazine-montana-cola-lemon
[],0.793016076,rainier
[],0.041080717,magazine-montana-cola-lemon
[],0.853248417,rainier
[],0.139151946,magazine-montana-cola-lemon
[],0.563396811,rainier
[],0.777235806,magazine-montana-cola-lemon
[],0.619487286,magazine-montana-cola-lemon
[],0.650006056,rainier
[],0.026495522,rainier
[],0.012443154,magazine-montana-cola-lemon
[],0.823681891,rainier
[],0.112773292,magazine-montana-cola-lemon
[],0.67040211,rainier
[],0.212297469,magazine-montana-cola-lemon
